episode,algorithm,mode,total_reward,steps,is_best,best_reward_so_far,best_steps_so_far
43,q_learning,train,96.2999999999999,300,1,96.2999999999999,300
44,q_learning,train,-3.2999999999999723,137,0,96.2999999999999,300
45,q_learning,train,-36.19999999999999,162,0,96.2999999999999,300
46,q_learning,train,-11.5,19,0,96.2999999999999,300
47,q_learning,train,-15.0,12,0,96.2999999999999,300
48,q_learning,train,-37.19999999999993,146,0,96.2999999999999,300
49,q_learning,train,-18.200000000000003,51,0,96.2999999999999,300
50,q_learning,train,-54.400000000000006,258,0,96.2999999999999,300
51,q_learning,train,-9.3,56,0,96.2999999999999,300
52,q_learning,train,44.30000000000001,232,0,96.2999999999999,300
53,q_learning,train,-0.5,23,0,96.2999999999999,300
54,q_learning,train,75.19999999999995,219,0,96.2999999999999,300
55,q_learning,train,0.30000000000005755,232,0,96.2999999999999,300
56,q_learning,train,-14.500000000000004,62,0,96.2999999999999,300
57,q_learning,train,11.399999999999995,178,0,96.2999999999999,300
58,q_learning,train,-25.79999999999997,108,0,96.2999999999999,300
59,q_learning,train,-17.59999999999998,95,0,96.2999999999999,300
60,q_learning,train,-1.0,37,0,96.2999999999999,300
61,q_learning,train,-6.900000000000002,85,0,96.2999999999999,300
62,q_learning,train,-30.099999999999955,90,0,96.2999999999999,300
63,q_learning,train,-23.099999999999987,128,0,96.2999999999999,300
64,q_learning,train,0.599999999999997,100,0,96.2999999999999,300
65,q_learning,train,77.1,211,0,96.2999999999999,300
66,q_learning,train,-9.399999999999956,284,0,96.2999999999999,300
67,q_learning,train,10.8,52,0,96.2999999999999,300
68,q_learning,train,-2.3,31,0,96.2999999999999,300
69,q_learning,train,-8.499999999999977,154,0,96.2999999999999,300
70,q_learning,train,-16.400000000000006,46,0,96.2999999999999,300
71,q_learning,train,-13.100000000000001,137,0,96.2999999999999,300
72,q_learning,train,-4.5,26,0,96.2999999999999,300
73,q_learning,train,-20.499999999999993,212,0,96.2999999999999,300
74,q_learning,train,-9.0,22,0,96.2999999999999,300
