episode,algorithm,mode,total_reward,steps,is_best,best_reward_so_far,best_steps_so_far
0,sarsa,train,-42.29999999999991,167,1,-42.29999999999991,167
1,sarsa,train,-2.0,28,1,-2.0,28
2,sarsa,train,13.600000000000016,200,1,13.600000000000016,200
3,sarsa,train,-21.199999999999964,89,0,13.600000000000016,200
4,sarsa,train,-3.6999999999999877,119,0,13.600000000000016,200
5,sarsa,train,-60.600000000000065,264,0,13.600000000000016,200
6,sarsa,train,2.0,27,0,13.600000000000016,200
7,sarsa,train,-34.79999999999993,155,0,13.600000000000016,200
8,sarsa,train,-20.899999999999967,138,0,13.600000000000016,200
9,sarsa,train,-16.599999999999994,133,0,13.600000000000016,200
10,sarsa,train,-54.500000000000234,229,0,13.600000000000016,200
11,sarsa,train,-22.000000000000004,54,0,13.600000000000016,200
12,sarsa,train,-17.0,30,0,13.600000000000016,200
13,sarsa,train,-0.19999999999996998,154,0,13.600000000000016,200
14,sarsa,train,-1.5,28,0,13.600000000000016,200
15,sarsa,train,-37.000000000000114,163,0,13.600000000000016,200
16,sarsa,train,-11.900000000000002,54,0,13.600000000000016,200
17,sarsa,train,-20.8,56,0,13.600000000000016,200
18,sarsa,train,-23.499999999999957,152,0,13.600000000000016,200
19,sarsa,train,-24.199999999999946,212,0,13.600000000000016,200
20,sarsa,train,-19.59999999999999,88,0,13.600000000000016,200
21,sarsa,train,-5.0,10,0,13.600000000000016,200
22,sarsa,train,-21.299999999999994,86,0,13.600000000000016,200
23,sarsa,train,-26.199999999999964,113,0,13.600000000000016,200
24,sarsa,train,-6.000000000000003,109,0,13.600000000000016,200
25,sarsa,train,-8.200000000000001,68,0,13.600000000000016,200
26,sarsa,train,2.0,26,0,13.600000000000016,200
27,sarsa,train,6.900000000000013,134,0,13.600000000000016,200
28,sarsa,train,-68.80000000000034,273,0,13.600000000000016,200
29,sarsa,train,9.600000000000001,108,0,13.600000000000016,200
30,sarsa,train,-13.100000000000005,79,0,13.600000000000016,200
31,sarsa,train,-47.0,54,0,13.600000000000016,200
32,sarsa,train,0.5000000000000018,122,0,13.600000000000016,200
33,sarsa,train,8.5,48,0,13.600000000000016,200
34,sarsa,train,72.19999999999996,251,1,72.19999999999996,251
35,sarsa,train,42.99999999999997,206,0,72.19999999999996,251
36,sarsa,train,-4.599999999999964,122,0,72.19999999999996,251
37,sarsa,train,-38.900000000000006,119,0,72.19999999999996,251
38,sarsa,train,-37.5,140,0,72.19999999999996,251
39,sarsa,train,-15.0,19,0,72.19999999999996,251
40,sarsa,train,-7.099999999999984,118,0,72.19999999999996,251
41,sarsa,train,-24.899999999999967,110,0,72.19999999999996,251
42,sarsa,train,-0.5,13,0,72.19999999999996,251
43,sarsa,train,-9.0,8,0,72.19999999999996,251
44,sarsa,train,-0.9000000000000004,34,0,72.19999999999996,251
45,sarsa,train,-31.89999999999998,110,0,72.19999999999996,251
46,sarsa,train,72.19999999999999,241,1,72.19999999999999,241
47,sarsa,train,-14.600000000000001,83,0,72.19999999999999,241
48,sarsa,train,-134.9,211,0,72.19999999999999,241
49,sarsa,train,-6.5,24,0,72.19999999999999,241
50,sarsa,train,-19.199999999999974,79,0,72.19999999999999,241
51,sarsa,train,-11.600000000000003,60,0,72.19999999999999,241
52,sarsa,train,73.7,225,1,73.7,225
53,sarsa,train,-3.7999999999999607,215,0,73.7,225
54,sarsa,train,-12.200000000000005,162,0,73.7,225
55,sarsa,train,-13.300000000000004,64,0,73.7,225
56,sarsa,train,-46.19999999999996,127,0,73.7,225
57,sarsa,train,-52.69999999999998,251,0,73.7,225
58,sarsa,train,-32.99999999999999,260,0,73.7,225
59,sarsa,train,-9.9,47,0,73.7,225
60,sarsa,train,62.10000000000002,238,0,73.7,225
61,sarsa,train,71.6,192,0,73.7,225
62,sarsa,train,-4.199999999999975,140,0,73.7,225
63,sarsa,train,-4.0,24,0,73.7,225
